sellerName,sGender,sClass,sOccupation,seLocale,svName,svEthnicity,svGender,svAge,buyerName,bGender,bClass,bOccupation,bLocale,pL,pD,pF,pS,Year,Date,Title
Benedetto Marino,male,nobiles,,,Maria,Russian,female,13,Oberto Boccanegra,male,mercanti,,,110,,,,1430,1430,"Antonio Fazio, filza 2, series II, nr. 209"
Benedetto Mazurro,male,mercantes,,,Tommasino,Moorish,male,9,Galcerano Adret,male,foreign,,Catalonia,80,,,,1463,1463-03-05,"Tommaso Duracino, filza 7, series I, nr. 52"
Benedetto Salvagi,male,nobiles,,,Martino,Moorish,male,18,Ambrogio Adorno,male,mercanti,,,100,,,,1479,1479-05-21,"Tommaso Duracino, filza 22, nr. 313 *"
Bernardina de Leone,female,mercantes,,,Maria,Bulgarian,female,,Angelo de Maiolo,male,artefici,speciarius,,200,,,,1497,1497-08-22,"Giovanni Battista Foglietta, filza 1, item dated 1497-08-22"
Bernardo Casadachila,male,foreign,mercator,Barcelona,Caterina,Tartaran,female,17,Giao de Sancto Miniato,male,mercanti,,,80,,,,1403,1403,"Giovanni de Allegro, register 2, 1400–1407, fol. 144r"
Bernardo de Ferraris,male,artefices,notarius,,Caterina,Tartaran,female,13,Antonio de Guirardis,male,artefici,faber,,125,,,,1430,1430-11-09,"Branca Bagnara, register 4, 1429–1431, fols. 97v–98r"
Bernardo de Franchi,male,mercantes,,,Agnese,Moorish,female,20,Ansaldo Lomellini,male,nobili,,,220,,,,1496,1496,"Antonio Pastorino, filza 11, nr. 338"
Bernardo de Franciscis,male,mercantes,,,Caterina,Turkish,female,25,Stefano Spada,male,artefici,,,200,,,,1491,1491,"Tommaso Duracino, filza 28, series II, nr. 44"
Bernardo de Palmis,male,mercantes,,,Caterina,,female,18,Baldassare de Blaxia,male,nobili,,,,,,,1485,1485,"Nicolò Raggi, filza 15, nr. 78"
Bernardo de Viale,male,,,,Maria,Bulgarian,female,12,Pietro Calsono,male,artefici,scaterius,,,,,,1492,1492,"Nicolò Raggi, filza 21, nr. 275"
Bernardo de Viale,male,,,,Maria,Bulgarian,female,12,Gregorio Calsono,male,artefici,scaterius,,,,,,1492,1492,"Nicolò Raggi, filza 21, nr. 275"
Bertina Usodimare,female,nobiles,,,Margherita,Circassian,female,20,Antonio de Costa,male,artefici,scaterius,,210,,,,1478,1478-09-28,"Tommaso Duracino, filza 21, nr. 498"
Bertono de Monleone,male,mercantes,,Monleone,Circassa,Circassian,female,21,Giovanni de Vadebella,male,artefici,notarius,Coreglia Ligure,75,,,,1403,1403,"Cristoforo de Revellino, register 21, 1403, fol. 229r"
Bertuchia Oderico,male,mercantes,,,Caterina,Canaries,female,28,Marco Benci,male,foreign,,Siena,,47,,47 dc.,1485,1485,"Girolamo Loggia, filza 3, series I, nr. 138"
Bianca de Montaldo,female,mercantes,,,Lucia,Tartaran,female,25,Antonio de Novi,male,artefici,phisicus,,70,,,,1441,1441,"Branca Bagnara, filza 18, nr. 97"
Bianca Lomellini q. Napoleone wife of Napoleone Doria,female,nobiles,,,Sofia,Circassian,female,18,Marco Spil,male,foreign,,Mallorca,107.1,,,107 l. 2 s.,1416,1416-06-13,"Giuliano Canella, register 5, 1415–1417, fol. 150r"
Bianchetta di Negro,female,nobiles,,,Caterina,Bosnian,female,25,Domenico Gentile Ricci,male,nobili,,,190,,,,1496,1496,"Lorenzo Costa, filza 17, nr. 181"
Bianchina Embriaco,female,nobiles,,,Lucia,Hungarian,female,35,Guirardo de Marini,male,nobili,,,140,,,,1451,1451,"Antonio Fazio, filza 14, series I, nr. 34"
Bianchina Spinola,female,nobiles,,,Anna,Circassian,female,28,Salvagia Frascaria,female,nobili,,,200,,,,1464,1464-01-13,"Tommaso Duracino, filza 7, series II, nr. 17"
Blancheta Adorno,female,mercantes,,,Lucia,Circassian,female,30,Antonio Caiho de Burgeto,male,mercanti,,,165,,,,1476,1476,"Andrea de Cairo, filza 31, nr. 73"
Blanchino Zucareto,male,nobiles,,,Marta,Tartaran,female,22,Girolamo Priorato,male,artefici,faber,,160,,,,1449,1449-02-02,"Antonio Fazio, filza 13, series II, nr. 232 *"
Blasio de Basignano,male,artefices,paterius,,Andrea,Circassian,female,13,Andrea de Benigassio,male,mercanti,doctor in utroque,,63,,,,1442,1442-07-30,"Antonio Fazio, filza 7, series II, nr. 99"
Blasio de Gambarinis,male,foreign,,Alessandria,Calì,African,male,22,Niccolò Veneroso,male,nobili,,,90,,,,1416,1416,"Pietro Bilignano, filza 1, nr. 32"
Blasio de Grado,male,foreign,,Milano,Lucia,Abkhazan,female,28,Francesco de Ibiza de Valmar,male,foreign,,Ibiza,150,,,a measure of sheep's wool valued at 150 l.,1459,1459-06-14,"Tommaso Duracino, filza 4, nr. 310"
Blasio de Loreto,male,,,,Lucia,Circassian,female,17,Francesco de Sancto Miniato d. Borromeo,male,artefici,,,250,,,,1477,1477-09-01,"Tommaso Duracino, filza 20, nr. 475"
Blasio de Monleone,male,artefices,faber,Monleone,Caterina,Circassian,female,16,Pietro Guarano,male,artefici,scaterius,,80,,,,1408,1408,"Bartolomeo Gatto, register 10, volume II, 1408, fol. 116r"
Boniforte Cazellis,male,artefices,,,Margherita,Circassian,female,32,Battistina da Passano,male,nobili,,,180,,,,1462,1462-09-02,"Tommaso Duracino, filza 6, series II, nr. 189 *"
Boruelle Salvagi,male,nobiles,,,Margherita,Bulgarian,female,22,Giovanni Mangiavacca,male,artefici,scaterius,,207.5,,,207 l. 10 s.,1471,1471-08-08,"Tommaso Duracino, filza 14, series II, nr. 84"
Bracaleone Doria q. Franco,male,nobiles,,,,Hungarian,female,35,Tommaso Frugone,male,,,,50,,,,1476,1476-08-27,"Lorenzo Costa, filza 7, series I, nr. 358"
Branca de Benedetto,male,nobiles,,,Agnese,Tartaran,female,25,Battista,male,,,,200,,,,1464,1464,"Oberto Foglietta, filza 9, nr. 47"
Brancaleone Grillo,male,nobiles,,,Venturino,Russian,male,20,Lanzarotto Grillo,male,nobili,,,90,,,,1467,1467-02-06,"Tommaso Duracino, filza 10, nr. 86"
Brancaleone Maruffo,male,mercantes,,,Agnese,Abkhazan,female,13,Daniele Bordino,male,mercanti,,,110,,,,1423,1423,"Stefano Boccone, filza 1, series II, nr. 203"
Bresano de Crovaria,male,mercantes,,,Margherita,Mingrelian,female,14,Boccalegra de Bargalio,male,artefici,formagarius,Bargagli,125,,,,1432,1432,"Antonio Fazio, filza 3, series I, nr. 15"
Brigida Calvi,female,nobiles,,,Caterina,Circassian,female,30,Anfreone Usodimare,male,nobili,,,200,,,,1490,1490,"Antonio Pastorino, filza 4, nr. 194"
Brigida Spinola,female,religious,monaca,,Elena,Hungarian,female,33,Stefano de Clavaro,male,artefici,,,140,,,,,,
Caracosa de Blaxia,female,nobiles,,,Melica,Tartaran,female,22,Marco Spil,male,foreign,,Mallorca,105,,,,1417,1417,"Giuliano Canella, register 5, 1415–1417, fol. 339r"
Caracosa Ritillario,female,,,,Agnese,,female,24,Gregorio de Lavagio,male,artefici,callegarius,,125,,,,1424,1424,"Stefano Boccone, filza 1, series II, nr. 257"
Carlo Bozzolo,male,mercantes,,,,Tartaran,female,16,Valerano Cattaneo,male,nobili,,,190,,,,1455,1455,"Antonio Fazio, filza 14, series III, nr. 337"
Carlo de Carlo,male,artefices,textor pannorum siricorum,,Maria,Tartaran,female,,Corrado Gentile,male,nobili,,,63,,,,1462,1462,"Branca Bagnara, filza 18, nr. 184"
Carlo de Corvara,male,artefices,,,Maddalena,Circassian,female,13,Giovanni Brando,male,foreign,,Catalonia,102,,,,1427,1427,"Branca Bagnara, filza 1, series I, nr. 134"
Carlo del Carretto,male,nobiles,,,Margherita,Bulgarian,female,23,Pietro Boto,male,artefici,,,112,,,,1423,1423,"Stefano Boccone, filza 1, series II, nr. 219"
Carlo Marocello,male,nobiles,,,Benedetto,Russian,male,22,Giacomo Ottone,male,,,,75,,,,1423,1423,"Bartolomeo Gatto, register 11, 1412–1427, fol. 268r"
Carlo Spinola,male,nobiles,,,Marta,Bulgarian,female,17,Andrea Usodimare,male,nobili,,,,,,,1412,1412,"Giuliano Canella, register 3, 1412–1413, fol. 47r"
Carlo Spinola,male,nobiles,,,Ianico,Moorish,male,22,Gabriele da Tolosa,male,foreign,,Catalonia,63.25,,,63 l. 5 s.,1485,1485,"Martino Brignole, filza 2, nr. 174"
Caterina Borrello,female,,,,Marta,Abkhazan,female,25,Giovanni Invrea,male,artefici,draperius,,225,,,,1469,1469,"Giovanni Danove, filza 2, series I, nr. 562"
Caterina Castrovetere,female,nobiles,,,Margherita,Russian,female,26,Benedetto de Amico,male,mercanti,,,120,,,,1443,1443,"Antonio Fazio, filza 8, series I, nr. 279"
Caterina de Benigassio,female,mercantes,,,Caterina,Circassian,female,35,Bertono de Mezario,male,artefici,,,93.75,,,93 l. 15 s.,1492,1492,"Nicolò Raggi, filza 21, nr. 628"
Caterina de Saviniono,female,mercantes,,,Margherita,Tartaran,female,16,Bartolomeo de Parma,male,foreign,rector grammatice,Parma,130,,,,1447,1447-04-19,"Paolo de Recco, filza 4, series I, item dated 1447-04-19"
Caterina de Vultabio,female,artefices,,,Lucia,Russian,female,24,Giovanni Battista Pinelli,male,nobili,,,144,,,,1438,1438-10-23,"Antonio Fazio, filza 5, series II, nr. 201 *"
Caterina Fieschi,female,nobiles,,,Caterina,Circassian,female,25,Francesco de Podio,male,artefici,,,95,,,,1415,1415,"Andrea Medianotte, filza 1, series I, nr. 171"
Caterina Grillo,female,nobiles,,,Lucia,Russian,female,25,Giovanni Amatis,male,foreign,,Venice,110,,,,1457,1457-05-30,"Tommaso Duracino, filza 3, series I, nr. 151"
Caterina Lomellini,female,nobiles,,,Melica,,female,26,Giuliano Baroncio,male,foreign,,Florence,,,,,1439,1439,"Antonio Fazio, filza 6, series I, nr. 272"
Cattaneo de Cattaneis,male,nobiles,,,Margherita,Bosnian,female,23,Battista Piccamiglio,male,nobili,,,240,,,,1488,1488,"Tommaso Duracino, filza 27, series I, nr. 18"
Cattaneo de Dernixio,male,artefices,,,Lanzaroto,Bulgarian,male,16,Baldassare Spinola,male,nobili,,,99,,,,1415,1415-09-12,"Giuliano Canella, register 5, 1415-1417, fols. 2v–3r"
Cattaneo de Dernixio,male,artefices,,,Lanzarotto,Bulgarian,male,16,Baldassare Spinola,male,nobili,,,99,,,,1415,1415-09-11,"Giuliano Canella, register 5, 1415–1417, fol. 2r"
Cattaneo dei Cattanei,male,nobiles,,,Maria,Tartaran,female,19,Anselmo Bacosterio,male,,,,110,,,,1420,1420,"Giuliano Canella, register 6, 1418–1421, fol. 249r"
Cattaneo Pinelli,male,nobiles,,,Lucia,Russian,female,17,Giovanni Priore,male,foreign,,Nice,130,,,,1440,1440,"Antonio Fazio, filza 6, series II, nr. 321"
Cattaneo Spinola,male,nobiles,,,Maddalena,Abkhazan,female,24,Giovanni Delfino de Varagine,male,artefici,,Varazze,150,,,,1433,1433,"Branca Bagnara, filza 2, series III, nr. 44"
Cazzano Ittaliano q. Giovanni,male,nobiles,medicine doctor,,Maria,,female,28,Francesco Lomellini,male,nobili,,,200,,,,1470,1470-03-22,"Tommaso Duracino, filza 13, series I, nr. 225 *"
Cazzano Saliceto,male,nobiles,,,Lucia,Circassian,female,18,Marco Martino,male,foreign,,Lucca,110,,,,1421,1421,"Bartolomeo Gatto, register 11, 1412–1427, fol. 109v"
Cipriano de Fornari,male,mercantes,,,Lucia,Turkish,female,20,Francisco de Pedrabales,male,foreign,,Tortosa,,,,,1484,1484-07-03,"Tommaso Duracino, filza 25, series I, nr. 300"
Cipriano de Mari,male,nobiles,,,Maria,Russian,female,25,Domenico Casanova,male,artefici,,,130,,,,1437,1437,"Antonio Fazio, filza 5, series I, nr. 244"
Cipriano de Vallebella,male,nobiles,,,Ivano,Russian,male,19,Battista de Columnis,male,nobili,,,110,,,"110 ""paghe"" of San Giorgio",1455,1455,"Branca Bagnara, filza 18, nr. 172"
Clara de Monelia,female,mercantes,,,Lucia,Tartaran,female,14,Leonardo Sanguineto,male,artefici,,,,,,,1457,1457-01-24,"Tommaso Duracino, filza 3, series I, nr. 24"
Clarisia Sauli,female,nobiles,,,Maddalena,Tartaran,female,25,Niccolò de Monelia,male,mercanti,scaterius,,150,,,,1450,1450,"Bartolomeo Risso, filza 1, series III, nr. 341"
Clavarino Ratono,male,artefices,lanerius,,Versinca,Russian,female,15,Antonio Lomellini,male,nobili,,,105,,,,1417,1417,"Giuliano Canella, register 5, 1415–1417, fol. 277r"
Clavarino Ratono,male,artefices,lanerius,,Valeca,Russian,female,18,Speciosa Gambone,female,mercanti,,,105,,,,1417,1417,"Giuliano Canella, register 5, 1415–1417, fol. 277r–v"
Clemente Grillo,male,nobiles,,,,Abkhazan,,19,Bartolomeo de Montaldo,male,mercanti,,,86,,,,1409,1409,"Giuliano Canella, register 2, volume I, 1408–1410, fol. 115r"
Cola de Rixi,male,foreign,,Messina,Gaspare,Russian,male,13,Giovanni de Cancellario,male,nobili,,,75,,,,1409,1409,"Giuliano Canella, register 2, volume I, 1408–1410, fol. 124r"
Colombano Rainuccio,male,artefices,speciarius,Bobbio,Giovanni,Tartaran,male,12,Giovanni Prates,male,foreign,mercator,Barcelona,,,50,50 fl.,1403,1403,"Giovanni de Allegro, register 2, 1400–1407, fol. 147r"
Colombano Rainuccio,male,artefices,speciarius,Bobbio,Giovanni,Tartaran,male,12,Giovanni Rame,male,foreign,mercator,Barcelona,,,50,50 fl.,1403,1403,"Giovanni de Allegro, register 2, 1400–1407, fol. 147r"
Corradino de Manarolia,male,artefices,,Manarola,Maria,Russian,female,19,Pietro Ittaliano,male,nobili,,,115,,,,1410,1410,"Giuliano Canella, register 2, volume I, 1408–1410, fol. 191r"
Corrado Castagna,male,nobiles,,,Margherita,Russian,female,14,Giovanni Priore,male,foreign,,Nice,125,,,,1440,1440,"Antonio Fazio, filza 6, series II, nr. 284"
Corrado Mazzurro,male,artefices,notarius,,Lucia,Tartaran,female,18,Filippo Gaihi de Sancto Miniato,male,artefici,,,80,,,,1403,1403,"Giovanni de Allegro, register 2, 1400–1407, fol. 107v"
Cosma de Montenigro,male,nobiles,,,Cristiano,Abkhazan,male,,,,,,,,,,,1411,1411,"Lodisio Tarigo, register 1, 1408–1433, fol. 19r"
Cosma Ferro,male,nobiles,,,Anna,Canaries,female,8,Gabriele Marcho,male,foreign,,Valencia,,20,,20 dc.,1465,1465-10-03,"Tommaso Duracino, filza 8, nr. 537"
Costantino de Malta,male,foreign,,Malta,Maria,Russian,female,20,Cristiano Salvo,male,artefici,notarius,,190,,,,1458,1458-11-09,"Tommaso Duracino, filza 3, series II, nr. 229"
Costantino de Malta,male,foreign,,Malta,Margherita,Crimean,female,20,Caterina Doria,female,nobili,,,195,,,,1456,1456,"Antonio Fazio, filza 16, series II, nr. 128"
Costantino Lercari,male,nobiles,,,Sofia,Circassian,female,20,Gonzale Sanches,male,foreign,mercator,Castile,75,,,,1412,1412,"Bartolomeo Gatto, register 11, 1412–1427, fol. 69v"
Costantino Ricci,male,artefices,scaterius,,Margherita,Circassian,female,29,Benedetto Bogiolo,male,artefici,mersarius,,125,,,,1456,1456-04-09,"Bartolomeo Risso, filza 6, nr. 345 (formerly nr. 346)"
Costantino Spinola,male,nobiles,scaterius,,Marta,Russian,female,22,Marco Verrina,male,mercanti,,,140,,,,1451,1451,"Antonio Fazio, filza 14, series I, nr. 13"
Cristiano de Promontorio,male,mercantes,,,Maddalena,Turkish,female,20,Tommaso de Franchi,male,mercanti,,,,,,,1487,1487,"Antonio Pastorino, filza 2, nr. 167"
Cristoforo Cattaneo,male,nobiles,,,Elena,Circassian,female,25,Pietro de Podio,male,artefici,,,270,,,,1487,1487,"Tommaso Duracino, filza 26, series II, nr. 162"
Cristoforo Cattaneo,male,nobiles,,,Elena,Bosnian,female,25,Pietro de Podio,male,artefici,,,270,,,,1485,1485,"Tommaso Duracino, filza 25, series II, nr. 100"
Cristoforo Cattaneo,male,nobiles,,,Elena,Bosnian,female,16,Damiano Asserio,male,nobili,,,200,,,,1489,1489,"Antonio Pastorino, filza 3, nr. 91"
Cristoforo de Bargalio,male,artefices,,Bargagli,Franceschina,Abkhazan,female,28,Martino de Mescheta,male,foreign,,Biscay,180,,,,1482,1482,"Tommaso Duracino, filza 24, series I, nr. 276"
Cristoforo de Canevari,male,artefices,textor siricorum,,Maddalena,Bosnian,female,23,Francesco de Topari,male,artefici,draperius,,200,,,,1495,1495,"Nicolò Raggi, filza 22, nr. 522"
Cristoforo de Davania,male,artefices,,Davagna,Caterina,Albanian,female,,Gerardo Degia,male,mercanti,,,200,,,,1493,1493-08-02,"Oberto Foglietta, filza 37, nr. 161 *"
Cristoforo de Davania,male,artefices,,Davagna,Caterina,Albanian,female,,Lucia Degia,female,mercanti,,,200,,,,1493,1493-08-02,"Oberto Foglietta, filza 37, nr. 161 *"
Cristoforo de Murta,male,nobiles,,,Maria,Russian,female,14,Benedetto de Monterubeo,male,artefici,,Monterosso,120,,,,1441,1441,"Battista Crosa, filza 1, nr. 457"
Cristoforo Spinola,male,nobiles,,,Caterina,Circassian,female,35,Paolo Costa,male,artefici,,,200,,,,1497,1497,"Antonio Pastorino, filza 12, nr. 91"
Cristoforo Triditano,male,nobiles,,,Giovanni,Moorish,male,35,Guglielmo Assereto,male,nobili,revenditor raubarum,,,,,,1424,1424,"Stefano Boccone, filza 1, series II, nr. 266"
Curreno de Manarolia,male,mercantes,,Manarola,Margarita,Tartaran,female,11,Battista de Marini,male,nobili,,,75,,,,1414,1414,"Giuliano Canella, register 4, 1414–1415, fol. 137r"
Curreno de Manarolia,male,mercantes,,Manarola,,Russian,female,15,Guirardo Usodimare,male,nobili,,,110,,,,1417,1417,"Giuliano Canella, register 5, 1415–1417, fol. 295r–v"
Damiano de Pagana,male,mercantes,,,Cristina,Russian,female,28,Giovanni Stella,male,mercanti,notarius,,70,,,,1402,1402,"Bartolomeo Gatto, register 9, volume II, 1402–1406, fol. 60v"
Damiano Loreto,male,nobiles,,,Margherita,Circassian,female,26,Niccolò Sauli,male,nobili,,,90,,,,1410,1410,"Lorenzo Villa, filza 1, nr. 17"
Damiano Squarciafico,male,nobiles,,,Maddalena,Russian,female,21,Teramo Capea,male,artefici,calzolarius,,180,,,,1437,1437,"Antonio Fazio, filza 5, series I, nr. 71"
Demetrio Grimaldi,male,nobiles,,,Maria,Turkish,female,15,Antonio de Franchi,male,mercanti,,,200,,,,1482,1482,"Giovanni Danove, filza 3, series I, nr. 145"
Dexerino de Albingana,male,artefices,,Albenga,Margherita,Tartaran,female,20,Domenico de Strata,male,artefici,magister axie,,60,,,,1401,1401,"Cristoforo de Revellino, filza 20, nr. ---"
Dexerino de Albingana,male,artefices,,Albenga,Margherita,Tartaran,female,20,Guglielmo Bardisi,male,artefici,,Camogli,60,,,,1401,1401,"Cristoforo de Revellino, filza 20, nr. ---"
Dexerino de Guiso,male,mercantes,,,Margherita,Tartaran,female,22,Benedetto de Tacio,male,artefici,draperius,,95,,,,1408,1408,"Bartolomeo Gatto, register 10, volume II, 1408, fol. 95r"
Dexerino Ricci,male,artefices,,,Martino,Russian,male,33,Giovanni de Toirano,male,artefici,,Toirano,75,,,,1423,1423-01-12,"Antonio Fazio, filza 21, nr. 18 *"
Domenico Campofregoso,male,mercantes,,,Lucia,Tartaran,female,30,Lodisio Fraxinet,male,foreign,mercator,Valencia,77.9,,,77 l. 18 s.,1403,1403,"Giovanni de Allegro, register 2, 1400–1407, fol. 148r"
Domenico Ceba,male,nobiles,,,Lucia,Tartaran,female,24,Giovanno Prado,male,,,,140,,,,1443,1443,"Antonio Fazio, filza 8, series I, nr. 56"
Domenico de Loreto,male,artefices,,Loreto,Maria,Russian,female,25,Pietro Gaville,male,foreign,,Mallorca,110,,,,1428,1428,"Giovanni de Allegro, register 3, 1408–1428, fol. 322r"
Domenico de Mari,male,nobiles,,,Giacomo,Moorish,male,24,Jame Ferrerio,male,foreign,,Catalonia,70,,,,1425,1425,"Antonio Fazio, filza 1, nr. 221"
Domenico de Zignaygo,male,nobiles,,,,,,,Giacomo de Franchi,male,mercanti,,,,,,,1401,1401,"Cristoforo de Revellino, register 18, 1401, fol. 356r"
Domenico Fatinante,male,mercantes,,,Agnese,,female,30,Luca di Negro,male,nobili,,,200,,,,1461,1461-01-26,"Tommaso Duracino, filza 6, series I, nr. 42"
Domenico Giustiniani,male,mercantes,,,Lucia,Moorish,female,22,Bernardo Lomellini,male,nobili,,,155,,,,1485,1485,"Martino Brignole, filza 2, nr. 270"
Domenico Giustiniani,male,mercantes,,,Marta,Russian,female,24,Bartolomeo Testa,male,artefici,lanerius,,115,,,,1440,1440,"Antonio Fazio, filza 6, series II, nr. 337"
Domenico Manzi,male,foreign,,Prato,Caterina,Circassian,female,40,Giletto Percivale,male,artefici,corrigiarius,,126.5,,,126 l. 10 s.,1474,1474,"Lorenzo Costa, filza 6, series I, nr. 358"
Domenico Negrone,male,nobiles,,,Giorgio,Bosnian,male,16,Giovanni de Marini,male,nobili,,,,36,,36 dc.,1478,1478-03-16,"Tommaso Duracino, filza 21, nr. 138"
Domenico Negrone q. Domenico,male,nobiles,,,Maddalena,Moorish,female,20,Tommaso Cattaneo q. Girolamo,male,nobili,,,186,,,"a great quantity ""pannorum largorum diversorum"" valued at 186 l.",1476,1476-11-28,"Tommaso Duracino, filza 19, series II, nr. 308 (formerly unnumbered) *"
Domenico Pallavicini,male,nobiles,,,Margherita,Bulgarian,female,25,Adret de Falceto,male,foreign,mercator,Catalonia,144,,,,1465,1465-08-14,"Tommaso Duracino, filza 8, nr. 445"
Domenico Ricci,male,artefices,,,Lucia,Tartaran,female,18,Giano Marcono,male,,,,130,,,,1440,1440,"Antonio Fazio, filza 6, series II, nr. 290"
Domenico Rotolo,male,nobiles,,,Ioham,Moorish,male,24,Bernardo Torres,male,foreign,,Ibiza,,38,,38 dc.,1476,1476-06-02,"Tommaso Duracino, filza 19, series I, nr. 389 *"
Domenico Senestrario,male,mercantes,,,Andrea,Tartaran,female,12,Goffredo Lomellini,male,nobili,,,85,,,,1417,1417,"Giuliano Canella, register 5, 1415–1417, fols. 404v–405r"
Domenico Senestrario,male,mercantes,,,,Circassian,female,16,Francesco Francisci,male,foreign,,Siena,112.5,,,112 10 s.,1417,1417,"Giuliano Canella, register 5, 1415–1417, fol. 275r"
Domenico Spinola,male,nobiles,,,Constantino,Turkish,male,20,Luca Spinola,male,nobili,,,124,,,,1488,1488,"Tommaso Duracino, filza 27, series I, nr. 249"
Domenico Spinola,male,nobiles,,,Linò,Moorish,male,18,Simoneto de Belprato,male,foreign,,Catalonia,205.5,,,205 l. 10 s.,1485,1485,"Martino Brignole, filza 2, nr. 105"
Domenico Tivegna,male,,,,Eliana,Russian,female,46,Blanchina Magnasco,female,artefici,,,39,,,,1473,1473,"Giacomo Rondanina, filza 7, series II, nr. 333"
Donato Bandinario,male,,,,Margherita,Abkhazan,female,24,Giovanni de Mari,male,nobili,,,130,,,,1460,1460-02-08,"Tommaso Duracino, filza 5, nr. 78 *"
Donato de Avancino,male,mercantes,,,Margherita,Russian,female,38,Martino de Arbulis ,male,foreign,,Biscay,72,,,,1460,1460-07-01,"Tommaso Duracino, filza 5, nr. 323 (formerly nr. 103)"
Donato de Avancino,male,mercantes,,,Margherita,Russian,female,38,Pietro de Ascotea,male,foreign,,Biscay,72,,,,1460,1460-07-01,"Tommaso Duracino, filza 5, nr. 323 (formerly nr. 103)"
Dorino de Vernacia,male,artefices,,Vernazza,Caterina,Russian,female,13,Paolo Capreniciis,male,artefici,scaterius,,180,,,,1456,1456-01-28,"Bartolomeo Risso, filza 6, nr. 329 (formerly nr. 330)"
Dorino de Vernacia,male,artefices,,Vernazza,Caterina,Russian,female,13,Giorgio Capreniciis,male,artefici,scaterius,,180,,,,1456,1456-01-28,"Bartolomeo Risso, filza 6, nr. 329 (formerly nr. 330)"
Dorino de Vernacia q. Pietro,male,artefices,,Vernazza,Lucia,Circassian,female,23,Angelo Ircherio q. Angelo,male,nobili,,,170,,,17 di «paghe»,1456,1456-07-15,"Tommaso Duracino, filza 2, series II, nr. 188"
Dorino Doria q. Edoardo,male,nobiles,,,,Moorish,female,22,Bartolomeo de Cabella q. Francesco,male,artefici,,,120,,,,1475,1475-01-25,"Giacomo de Recco, filza 2, series I, nr. 279"
Edoardo Regechia,male,,,,Maria,Russian,female,20,Lorenzo Valletaro,male,mercanti,,,160,,,,1457,1457-05-11,"Bartolomeo Risso, filza 5, series III, nr. 25"
Egidio Carmandino,male,nobiles,,,Elena,Bulgarian,female,15,Emanuele Ibaroia,male,foreign,,Catalonia,225,,,,1463,1463-10-22,"Tommaso Duracino, filza 7, series I, nr. 218"
Egidio Carmandino,male,nobiles,,,Margarita,,female,32,Pietro de Portu de Vindaroa,male,foreign,,Biscay,,,,,1457,1457-10-26,"Tommaso Duracino, filza 3, series I, nr. 290"
Egidio Carmandino,male,nobiles,,,Sofia,Moorish,female,22,Lanfranco de Ingo,male,nobili,,,185,,,,1486,1486,"Nicolò Raggi, filza 16, nr. 848"
Egidio Carmandino,male,nobiles,,,Rolandino,Circassian,male,17,Pietro de Portu de Vindaroa,male,foreign,,Biscay,100,,,,1457,1457-10-26,"Tommaso Duracino, filza 3, series I, nr. 289"
Eliana Lercari,female,nobiles,,,Marteta,Circassian,female,,Giovanni Vivolo,male,artefici,barberius,,,,28,28 fl.,1409,1409-06-27,"Andreolo Caito, register 6, 1370–1409, fol. 196v"
Enrico Camilla,male,nobiles,,,Anna,Moorish,female,22,Francesco Pannoleo,male,,,,120,,,,1474,1474,"Lorenzo Costa, filza 6, series I, nr. 361"
Enrico Camilla,male,nobiles,,,Francesca,Moorish,female,22,Giovanni de Circulis,male,foreign,,Catalonia,326,,,,1485,1485,"Martino Brignole, filza 2, nr. 196"
Enrico Camilla,male,nobiles,,,Maccori,Moorish,male,17,Giovanni de Circulis,male,foreign,,Catalonia,326,,,,1485,1485,"Martino Brignole, filza 2, nr. 196"
Enrico Camilla,male,nobiles,,,Ferrando,Moorish,male,,Giovanni de Circulis,male,foreign,,Catalonia,326,,,,1485,1485,"Martino Brignole, filza 2, nr. 196"
Enrico de Podio,male,artefices,,,Lucia,Mingrelian,female,13,Oberto Doria,male,nobili,,,170,,,"170 l. in ""paghe"" of San Giorgio",1456,1456-06-02,"Bartolomeo Risso, filza 6, nr. 353 *"
Enrico de Podio,male,artefices,,,Maddalena,Bulgarian,female,15,Pancrazio Falamonica,male,nobili,,,175,,,,1456,1456-04-07,"Bartolomeo Risso, filza 6, nr. 344 (formerly nr. 345)"
Enrico de Podio,male,artefices,,,Maria,Bulgarian,female,18,Pancrazio Falamonica,male,nobili,,,180,,,,1456,1456-04-07,"Bartolomeo Risso, filza 6, nr. 344 (formerly nr. 345)"
Enrico de Podio,male,artefices,,,Melica,Albanian,female,19,Benedetto Ittaliano,male,nobili,,,185,,,,1455,1455-12-23,"Bartolomeo Risso, filza 4, series I, nr. 251"
Federico Cicala,male,nobiles,,,Caterina,,female,31,Pietro de Deva,male,foreign,,Deva (Biscay),150,,,,1457,1457-07-02,"Bartolomeo Risso, filza 5, series I, nr. 189"
Federico Cicala,male,nobiles,,,Valentino,Circassian,male,20,Giovanni Geronense,male,,,Mallorca,150,,,,1460,1460-07-02,"Tommaso Duracino, filza 5, nr. 328 (formerly nr. 108)"
Federico de Varna,male,foreign,,Palermo,Gaspare,Moorish,male,12,Francesco Pedralbes,male,foreign,,Tortosa,55,,,,1486,1486,"Nicolò Raggi, filza 16, nr. 499"
Federico Spinola,male,nobiles,,,Caterina,Tartaran,female,26,Teramo Cavo,male,artefici,lanerius,,110,,,,1428,1428,"Antonio Fazio, filza 2, series I, nr. 251"
