hName,hGender,hClass,hOcc,hLoc,hActive,hID,hOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svActive,,,,svID,svOMID,fs,3pserv,py,3ppay,patr,pl,actTitle,actDate,actYear,aa (Author),aaID,aaOMID,actArItem,aArItemID,ArItOMID,rights,actID,actOMID,actTitle,ActDescription
Battista de Albingana,male,artefices,,26140,1412–1437,f96be58c-f38f-4674-bb3d-bf1c01e61e6c,39851,Giorgino,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,male,–1437,,1437,1437,79930bac-4304-48cb-877a-afb718160de1,40071,,,,,,,"Girolamo Casella, filza 1, item dated 1437-06-07",1437-06-07,1437,Niccolò Accarino,21fa97a2-20ed-411f-9146-06a7d1dc9ba0,39819,Notai antichi 834,55946e12-c57a-4410-b928-26bab4cffe89,39821,Archivio di stato di Genova,77c50eb3-8b9a-4db8-bfc7-ef5ee8440e7e,40305,Franchixia,A certain Battista de Albingana frees the Tartaran slave Giorgino.
Battista de Callestano,male,artefices,notary,,1415–1440,c2371856-0346-432b-aa11-510e7503c0f5,39852,Margarita,Albanian,eff5f423-f260-4a5e-8a8b-42cdfc3b5f84,31272,female,1410–1440,1410,1440,30,c4b30e73-7754-40e6-b15d-fc09cfd10c95,40072,,,,,,,"Branca Bagnara, filza 6, series I, nr. 16",1440-01-29,1440,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 653,4b3a98d6-378e-4228-8350-e7e1e0da1b40,39288,Archivio di stato di Genova,256d298c-3abd-49ba-8c61-d1b67b1bcbda,40247,Franchixia,"A certain Battista ""de Callestano"", notarius, frees the Albanian slave Margherita, who is 30 years of age."
Battista de Goano,male,artefices,ortolanus,,1466–1491,4e81ee86-8989-490a-bbbe-c6c2f182dd0d,39853,Giacomo,Greek,a60cb7ee-a97d-42d1-b314-5fdc396b40f7,37490,male,1466–1491,1466,1491,25,d866493f-cb41-4ec0-aa3b-c94e35182f30,40073,,,,,,,"Giovanni Battista Pilosio, filza 1, series II, nr. 496",1491-08-31,1491,Giovanni Battista Pilosio,230a7928-1751-4b6e-aa39-de6899122510,39762,Notai antichi 1097,4650524f-13d6-462e-8350-dc1cc6a7a337,39770,Archivio di stato di Genova,88734d08-6e65-4b1f-b73d-cc0f91aa5c74,40266,Franchixia,"The Greek slave Iacopo, who is 25 years of age, is freed by a certain Battista ""de Goano"", ortolano. He is named as ""de progenie Negropontis"""
Battista de Marini,male,nobiles,,,1435–1460,d40c85bf-7765-4cd0-a9f6-fbe4357eeebf,39854,Elena,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,female,1420–1460,1420,1460,40,78cba2c1-f4b0-4ef8-aa14-db114e316417,40074,,,,,y,at the table of the notary,"Tommaso Duracino, filza 5, nr. 280 (formerly nr. 447)",1460-06-07,1460,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 892,e7580816-b257-4dbe-a746-59ec6a20c56c,37836,Archivio di stato di Genova,51ebe2ea-9d1b-4329-852e-3c5198d908b5,40408,Franchixia,"A certain Battista de Marini frees his Tartaran slave Elena, who is 40 years old. Tria notes the use of the template « quilibet persona sui iuris de libera et francha » in this manumission (where francha indicates ""personally free."")"
Battista de Parma,male,artefices,,26240,1460–1485,afc5e9bf-316a-4ac7-8e44-efcdec037279,39855,Maddalena,Albanian,eff5f423-f260-4a5e-8a8b-42cdfc3b5f84,31272,female,1458–1485,1458,1485,27,dfc7eb57-467a-4034-a25f-08dbfda98f24,40075,,,,,,,"Martino Brignole, filza 2, nr. 37",1485,1485,Martino Brignole,e926f8e5-4e3c-406a-a6c3-b121bd573d63,23116,Notai antichi 1246,9ba684d8-deda-4cbe-995f-49d6cc195e12,37759,Archivio di stato di Genova,0dac8bc0-0338-4817-b81b-24c587d47713,40345,Franchixia,"A certain Battista ""de Parmis"" frees the Albanian slave Maddalena, who is 27 years of age."
Battista Giustiniani,male,mercantes,,,1450–1483,fd75a375-741f-4fb8-bd8e-b8deff5c5529,26693,Maddalena,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,1452–1483,1452,1483,31,8c1178da-4985-476c-ab84-0a688a07efb0,35389,,,,,,,"Niccolò Raggi, filza 13, nr. 607",1483,1483,Niccolò Raggi,36f8b974-03c1-4387-a286-cc847b0b1f36,25500,Notai antichi 1028a,d1821d28-f2ae-49e2-b134-5fa3692e1b41,37741,Archivio di stato di Genova,ee109f5e-0d50-4e7a-8453-0b89f9d90083,40354,Franchixia,"A certain Battista Giustiniani frees the Circassian slave Maddalena, who is 31 years of age."
Battista Lomellini,male,nobiles,,,1460–1540,b69abc3a-5c09-482b-9c26-a822fe3665b7,24077,Maria,,,,female,1455–1485,1455,1485,30,66862962-0c56-45f2-aedd-6549c5bea42b,40025,,,,,,,"Martino Brignole, filza 2, nr. 671",1485,1485,Martino Brignole,e926f8e5-4e3c-406a-a6c3-b121bd573d63,23116,Notai antichi 1246,9ba684d8-deda-4cbe-995f-49d6cc195e12,37759,Archivio di stato di Genova,3e92e8c2-b8f9-413c-b812-dfdf8252e63a,40346,Franchixia,"A certain Battista Lomellini frees the slave Maria, who is 30 years of age and whose ethnicity is not indicated. This corresponds to 300 lire to his children Agostino and Nicola, the owners."
Battista Piccamiglio,male,nobiles,,,1454–1488,185a49e4-5a0c-48b9-a32b-d68e9d6a2a18,30131,Venturino,Bosnian,2131e175-08ff-4be0-bc8b-5c403d279c8e,31536,male,1465–1487,1465,1487,22,68d97c3c-96d5-44dc-890e-606a794fe33f,39976,,,,,,,"Niccolò Raggi, filza 17, nr. 775",1487-10-24,1487,Niccolò Raggi,36f8b974-03c1-4387-a286-cc847b0b1f36,25500,Notai antichi 1029,ccc6cc45-f67b-4bea-8015-34fe70313578,37745,Archivio di stato di Genova,9de13171-97bd-4546-aa17-55f01f675a4a,40359,Franchixia,"A certain Battista Piccamiglio frees the Bosnian slave Venturino, who is 22 years of age."
Battistina Delfino,female,mercantes,,,1472–1497,d608d88f-f8b9-472a-b640-ff03850c78f6,39856,Maddalena,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,1432–1497,1432,1497,65,8f7358a9-3887-4fce-9804-37b59a08fe60,40076,,,,,,,"Niccolò Raggi, filza 24, nr. 593",1497,1497,Niccolò Raggi,36f8b974-03c1-4387-a286-cc847b0b1f36,25500,Notai antichi 1036,d1705484-6b73-4195-a234-3e2cf5620573,37750,Archivio di stato di Genova,e89de89d-5b29-405e-ac6b-e0136413e0fb,40368,Franchixia,"A certain Battistina de Delfìnis frees the Russian slave Maddalena, who is 65 years of age."
Benedetto de Bergamo,male,artefices,calegarius,39675,1396–1421,9a031cd6-7f23-4fe3-96a5-a97c4e12dace,39857,Rosa,Bulgarian,d3b57a91-3e55-4d34-89b7-5db6e259c5cb,31541,female,–1421,,1421,1421,b1486ef7-4d34-4749-ab82-a41139d7a2a5,40077,,,,,,,"Giovanni Labaino, filza 2, nr. 85",1421,1421,Giovanni de Labaino,3e74de1c-121f-4d3d-acb1-5bc6fe40e09c,23813,Notai antichi 549,cda8b74e-bc79-4593-99f6-772824b33aec,39800,Archivio di stato di Genova,54fd5e43-a07a-4668-89d2-3407d75ba61d,40302,Franchixia,"A certain Benedetto ""de Bergamo"", calegarius, frees the Bulgarian slave Rosa, who is --- years of age."
Benedetto de Signorio,male,artefices,teacher,,1462–1487,a313a8d9-200a-4215-b023-7c83e6fa2da3,39858,Giovanni,Turkish,cf223ecb-f243-491c-836e-823d5db2129c,31560,male,1462–1487,1462,1487,25,76d9ac18-5a65-47f1-b8e6-613076641029,40078,,,,,,,"Battista Serravalle, filza 1, nr. 237",1487,1487,Battista de Serravalle,e564dcff-a20c-4066-a12b-e4f23978d9a2,31226,Notai antichi 1338,ffb0770f-22b9-4825-801e-3c7147ab2ee8,39779,Archivio di stato di Genova,d00c1672-afbd-42d6-a3e2-a6e32301a5b1,40241,Franchixia,"A certain Benedetto de Signorio, ""magister teologie"", frees the Turkish slave Giovanni, who is 25 years of age."
Bernardo Boecio,male,artefices,,,1472–1497,9730af4e-ce7d-4039-9a3f-3b791b930436,39859,Marta,Moorish,04348640-60da-4bab-811c-6f34b0aef7a27,31559,female,–1497,,1497,1497,16f8ae7c-da50-4916-9072-a762fde9b2bf,40079,,,,,,,"Lorenzo Costa, filza 17, nr. 529",1497,1497,Lorenzo Costa,114bb456-e4db-42db-a1d0-8e66f53996b4,23313,Notai antichi 1003,ee5ad8a6-ba9c-409d-895b-99897b53c334,39766,Archivio di stato di Genova,1b82e083-a55b-42d0-a7d6-d773770eebee,40333,Franchixia,A certain Bernardo Boeto frees the Moorish slave Marta. He may be related in some way to the Gallo family.
Bernardo Dondedeo,male,,,,1459–1484,9e3b1c10-e7fb-473b-9e36-af1a54100c39,39860,Venturino,Bulgarian,d3b57a91-3e55-4d34-89b7-5db6e259c5cb,31541,male,1459–1484,1459,1484,25,b9576e82-8d7b-40e4-a57d-f27236214507,40080,,,,,,,"Pellegro Testa, filza 3, item dated 1484-02-24",1484-02-24,1484,Pellegro Testa,0154948b-b25b-490d-a87c-ac1102687235,25804,Notai antichi 1144,4b4fe3e4-c0e4-4cb9-99b2-b99f823d998a,39773,Archivio di stato di Genova,f684e80d-e538-4345-a727-b36c26cdc475,40374,Franchixia,"A certain Bernardo Dondedeo frees the Bulgarian slave Venturino, who is 25 years of age."
Bernardo Grimaldi,male,nobiles,,,1474–1499,2531d9d8-2850-43a2-8d9b-3c0815d73265,39861,Maddalena,Moorish,04348640-60da-4bab-811c-6f34b0aef7a27,31559,female,1476–1499,1476,1499,23,96e2db54-b341-4326-8b21-d31f9d08d854,40081,12,y,,,y,in the workshop of an independent party,"Giovanni Danove, filza 3, series II, nr. 339",1499-02-21,1499,Giovanni de Novi,4063c1fd-cd7d-46ad-a4d5-256fd90ceb66,31238,Notai antichi 918,b0207022-11d2-47f6-8f3d-e4921182dd2b,37855,Archivio di stato di Genova,e4a27c4c-702a-4ce3-b8b4-0534c5bbe03d,40294,Franchixia,"A certain Bernardo Grimaldi frees the Moorish slave Maddalena, who is 23 years of age."
Bianca Usodimare,female,nobiles,,,1428–1453,5ddad28e-b22d-415f-9609-439153d1ccf5,39862,Caterina,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,1415–1453,1415,1453,38,8c83c657-ac1b-453d-8717-605af6e40c04,40082,,,,,,,"Paolo de Recco, filza 5, series II, item dated 1453-12-11",1453-12-11,1453,Paolo de Recco,c1f85949-1d93-46d1-ac79-9ed0b90c2ffe,25510,Notai antichi 700,22bfe28d-4bed-4d37-a3e1-d1c9bbc096f5,37819,Archivio di stato di Genova,f948c3ee-b368-47e5-a5bc-3e1d34b42cc5,40371,Franchixia,"In this deed, a certain Banchina Usodimare frees the Abkazan slave Caterina, who is 38 years of age."
Blanchinetta Pinelli,female,nobiles,,,1459–1484,b4153ecc-cf1d-413e-85c2-7a014137450d,39863,Lucia,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,1439–1484,1439,1484,45,e1e82ae1-db46-4253-bf3d-8bcab2549ecf,40083,,,,,,,"Pellegro Castelletto, filza 1, nr. 13",1484,1484,Pellegro de Casteletto,102f37cd-138d-4954-b532-dd15f7492864,23179,Notai antichi 1275bis,b07e983a-e87d-44db-8b0b-e4acfa4d93f4,37762,Archivio di stato di Genova,e9f59489-e4f5-44e9-9a43-7c4f4629ee80,40372,Franchixia,"A certain Blanchineta Pinelli frees the Circassian slave Lucia, who is 45 years of age."
Brigida Basadonna,female,mercantes,,,1455–1480,9e789d85-fa08-4670-8cbf-7008fb6f2cc5,39864,Margarita,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,–1480,,1480,1480,9261bf68-9910-46a0-bcfe-b3273180bf10,40084,4,,,,y,in the house inhabited by the holder,"Lorenzo Costa, filza 10, nr. 262",1480-07-05,1480,Lorenzo Costa,114bb456-e4db-42db-a1d0-8e66f53996b4,23313,Notai antichi 996,20d84745-4821-4256-8814-6f84fed07ae2,39830,Archivio di stato di Genova,c76346b6-61f1-4833-b835-510ff44deb0d,40326,Franchixia,"A certain Brigida Basadonna frees the Abkhazan slave Margherita, whose age is not specified."
Caloccio de Fornari,male,mercantes,,,1427–1452,1e2c2516-b5a5-4165-8957-7c21e61e12dc,39716,Margarita,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,1412–1452,1412,1452,40,1ff7fe76-d3a0-418c-a6e4-f39c6f8329a8,39682,,,,,,,"Antonio Fazio, filza 14, series II, nr. 249",1452,1452,Antonio de Facio,470ec411-000f-4a1a-a163-9d3bd5fd8e2a,23454,Notai antichi 588,ed64de2e-d672-4325-9da7-d57122d0f215,37800,Archivio di stato di Genova,"7fa26cf4-b1df-42fd-864c-0a55d2ca6986 
",39717,Franchixia,"Nicola and Calocio de Fornari free the Abkhazan slave Margherita, who is 40 years of age."
Catalochia Cattaneo,female,nobiles,,,1443–1468,ba915572-738c-479a-a475-72d94e5081a3,39865,Maddalena,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,1438–1468,1438,1468,30,d9912029-dcc8-45be-b489-270b5af21b0b,40085,3,y,,,y,in the house inhabited by the holder,"Giovanni Danove, filza 2, series I, nr. 287",1468-01-12,1468,Giovanni de Novi,4063c1fd-cd7d-46ad-a4d5-256fd90ceb66,31238,Notai antichi 917,83087068-721e-446d-bdff-bd588c1050e2,37854,Archivio di stato di Genova,9dba1ce9-ba0e-4d4e-85d7-bab55dfbca41,40280,Franchixia,"A certain Catalochia Cattaneo frees the Russian slave Maddalena, who is 50 years of age."
Caterina Centurione,female,nobiles,,,1432–1457,702936a3-8756-44ca-a47d-71e206cef97b,39866,Caterina,Hungarian,269bea4f-a063-4938-be5d-1cd25e1e07dd,31551,female,1439–1457,1439,1457,18,73faa6e1-2985-48c6-8920-dd6924741830,40086,,,,,y,in the house inhabited by the holder,"Bartolomeo Risso, filza 5, series III, nr. 75",1457-12-28,1457,Bartolomeo Risso,327f6750-eb71-41b2-9c5a-deb15e5e0785,25517,Notai antichi 719,b6aa2ee9-3d86-4073-bdab-aa5b88cf304a,37824,Archivio di stato di Genova,eaaf361d-f2e1-497a-b1c4-302cff66e3bd,40232,Franchixia,"A certain Caterina de Mari frees the Hungarian slave Caterina, who is 28 years of age."
Caterina de Porta,female,mercantes,,,1428–1453,e50cb90a-2a8f-4fbf-b500-a309a62ac455,39867,Maria,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,1403–1453,1403,1453,50,cf80618f-bf9f-4307-9929-edb49234b234,40087,,,,,,,"Guirardo Brevei, filza 2, nr. 71",1453,1453,Gherardo de Brevei,b65be120-8ef0-428c-b14d-ffa1d473bd4e,23113,Notai antichi 711,80b75dc1-b32e-4f38-8a2d-5197fadcf4ce,39815,Archivio di stato di Genova,c6978d13-ec7b-4a25-a244-1a175c3e9df9,40320,Franchixia,"A certain Caterina de Porta frees the Abkhazan slave Maria, who is 50 years of age."
Caterina Lanciapango,female,artefices,,,1406–1431,1eb29f74-0b6a-4cfc-80ad-bcd7b2bf5d84,39868,Melica,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,1391–1431,1391,1431,40,6da3f27d-1c75-4a1c-84a3-80b725bb35bc,40088,,,,,,,"Battista Crosa, filza 1, nr. 187",1431,1431,Battista Crosa,c2fa935f-c9fa-4094-b8d5-e728981dbc07,31225,Notai antichi 645,421af37d-1ae9-4961-961f-56f6159eaefb,37812,Archivio di stato di Genova,3682adef-5f4c-4360-bf23-420c9504c662,40235,Franchixia,"A certain Caterina Lanzapanico frees the Circassian slave Melica, whose is 40 years of age."
Caterina Murialdo,female,,,,1391–1416,a19caa72-88c7-44ff-9a0f-2a9b0fa771f3,39869,Francesco,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,male,1366–1416,1366,1416,50,c6c475e8-2d3e-4ef9-9ce3-2df5cae4e115,40089,,,,,,,"Andrea Medianotte, filza 1, series I, nr. 220",1416,1416,Andrea Medianotte,8e70fdbc-335b-4ac8-85df-273361b1badf,31221,Notai antichi 547,5ec4d5e0-9fb4-4f72-ac64-81eccb404e02,37790,Archivio di stato di Genova,6ce22755-c9d0-4616-99b5-40a090f83271,40195,Franchixia,"A certain Caterina Murialdo frees the Tartaran slave Francesco, who is 50 years of age."
Cattaneo Spinola,male,nobiles,,,1402–1452,64943f07-db59-456e-8627-3a9459eaa32d,25634,Elena,Hungarian,269bea4f-a063-4938-be5d-1cd25e1e07dd,31551,female,1428–1452,1428,1452,24,30ce1ea0-c722-435c-ba1e-911e4e27a3b6,39998,,,,,,,"Guirardo Brevei, filza 2, item dated 1452-03-08",1452-03-08,1452,Gherardo de Brevei,b65be120-8ef0-428c-b14d-ffa1d473bd4e,23113,Notai antichi 711,80b75dc1-b32e-4f38-8a2d-5197fadcf4ce,39815,Archivio di stato di Genova,738e1316-4f63-4f5a-bc02-1af7dfd1fd1b,40319,Franchixia,"A certain Cattaneo Spinola frees the Hungarian slave Elena, who is 24 years of age."
Cesare Cattaneo,male,nobiles,,,1465–1490,677e62f1-3e87-4bab-a1c4-b22ba01fb4c3,30206,Maddalena,,,,female,–1490,,1490,1490,4dde45e7-8bbd-4f8a-8483-53c49c37c88b,35369,20,,,,y,at the table of the notary,"Girolamo Loggia, filza 3, series II, nr. 325",1490-06-09,1490,Girolamo Loggia,d8b76ffe-3253-48d9-9328-bfa6d0e6c719,23867,Notai antichi 1123,88f36ce8-de6d-410c-bd04-037ce2331506,39771,Archivio di stato di Genova,2cc22d77-5956-4502-afb0-b3a3c9ace1c0,40311,Franchixia,
Chiara Ittaliano,female,nobiles,,,1413–1444,5e811c9a-7888-4446-b6ce-066bef31b8a9,23767,Marta,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,1419–1444,1419,1444,25,805fe4c3-aab4-4cc1-9dd9-7cde95d43d41,39996,,,,,y,in a monastery,"Andrea de Cairo, filza 2, nr. 41",1444-03-31,1444,Andrea de Cairo,bd07a964-a2cd-48a0-8401-f4a21ba7ac3e,23121,Notai antichi 782,56dddd37-8057-4c76-9a5a-ef8ab8c21634,39291,Archivio di stato di Genova,a4ccb134-b8b6-4bb3-b1a6-822d1beee219,40192,Franchixia,"Clara Ittaliano q. Bartolomeo, wife of Pietro de Fornari, frees the Circassian slave Marta, who is 25 years of age, along with her descendants. A transcription of this deed is contained in Tria. Added to Genoese merchants DB, Nov 2017. Image is in Tropy."
Chiara Ittaliano,female,nobiles,,,1413–1444,5e811c9a-7888-4446-b6ce-066bef31b8a9,23767,Cristina,Hungarian,269bea4f-a063-4938-be5d-1cd25e1e07dd,31551,female,1398–1438,1398,1438,40,73c473e0-8e77-4e04-97db-cd9ca2f2e786,39995,,,,,,,"Branca Bagnara, filza 18, nr. 76",1438,1438,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 665,bbfef75a-ad86-4af3-b546-2182d8b57e03,39811,Archivio di stato di Genova,7a524047-6471-4a28-af44-dd25d371ca62,40246,Franchixia,"A certain Clara Ittaliano frees the Hungarian slave Cristina, who is 40 years of age."
Chiara Pinelli,female,nobiles,,,1429–1454,e75423bb-00a3-4a46-892d-ca137fa8d68b,39870,Melica,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,1416–1454,1416,1454,38,701807c3-1046-435a-b1de-21bc79caa297,40090,4,,,,y,in the house inhabited by the holder,"Tommaso Duracino, filza 1, series II, nr. 216 *",1454-11-10,1454,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 888,af120abc-a312-41b7-8b93-49985584cbe0,26211,Archivio di stato di Genova,3f4aa36a-3aa8-4e99-81ef-57e45c1dba06,40380,Franchixia,"A certain Clara Pinelli frees the Abkhazan slave Melica, who is 38 years of age. The dating is approximate."
Chiaretta Doria,female,nobiles,,,1473–1498,e1dfd135-d02c-46f9-a1c8-2bda7da156f3,39871,Maria,Turkish,cf223ecb-f243-491c-836e-823d5db2129c,31560,female,1458–1498,1458,1498,40,49122336-211f-4559-bdaf-6c7ccd229027,40091,,,,,y,in a home of an independent party,"Giovanni Danove, filza 3, series II, nr. 324",1498-06-09,1498,Giovanni de Novi,4063c1fd-cd7d-46ad-a4d5-256fd90ceb66,31238,Notai antichi 918,b0207022-11d2-47f6-8f3d-e4921182dd2b,37855,Archivio di stato di Genova,829022bb-6e41-4241-8c03-2be0f57695bc,40293,Franchixia,"A certain Clareta Doria frees the Turkish slave Maria, who is 40 years of age."
Cosmo Pinelli,male,nobiles,,,1463–1488,be48ecb3-6d8e-404a-9066-68e50358cd3e,39872,Maddalena,,,,female,1458–1488,1458,1488,30,92a038b7-ea91-4535-85c7-777dee769e22,40092,,,,,,,"Niccolò Raggi, filza 18, nr. 361",1488,1488,Niccolò Raggi,36f8b974-03c1-4387-a286-cc847b0b1f36,25500,Notai antichi 1030,2bd680bb-04f8-4ee1-a7da-7033df8c9add,37746,Archivio di stato di Genova,39b79c2d-27ef-4ef3-8112-582f818bbf52,40363,Franchixia,"A certain Cosma Pinelli frees the --- slave Maddalena, who is 30 years of age."
Costantino de Malta,male,foreign,,27603,1434–1459,bc9bcc97-241b-4256-9f16-2389529ea67a,26809,Caterina,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,1415–1459,1415,1459,44,45484ab4-a71a-4a79-bdda-c0c11c00ac92,40028,,,,,,,"Tommaso Duracino, filza 4, nr. 63 *",1459-02-10,1459,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 891,d9596fa2-5eb7-4ad3-90c3-3f78583e00e6,37835,Archivio di stato di Genova,4e70986c-b63e-4b3b-b389-2e50cfa0cd68,40407,Franchixia,"A certain Constantino de Malta, who is a Genoese, liberates the Russian slave Caterina, who is 44 years of age. The dating is approximate."
Costanza Grimaldi,female,nobiles,,,1432–1457,5f672527-d6b3-4e40-9cf5-c5a3cbe802da,39873,Valentino,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,male,1432–1457,1432,1457,25,302c19fd-207d-4598-bd95-a2f0180eee8b,40093,5,,unspec.,,y,in the house inhabited by the holder,"Bartolomeo Risso, filza 5, series I, nr. 214",1457-07-26,1457,Bartolomeo Risso,327f6750-eb71-41b2-9c5a-deb15e5e0785,25517,Notai antichi 719,b6aa2ee9-3d86-4073-bdab-aa5b88cf304a,37824,Archivio di stato di Genova,941da3a7-76bf-4ace-80c4-21384039655a,40229,Franchixia sclave,"A certain Costanza Vivaldi frees the Circassian slave Valentino, who is 25 years of age."
Costanza Spinola,female,nobiles,tinctor septe,27650,1429–1458,9c9cc205-fe48-44c5-bded-d0694093314f,31467,Caterina,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,1428–1458,1428,1458,30,b9059740-6f05-4c05-a837-4bd25e515182,40014,,,,,y,in the house inhabited by the holder,"Narino Montaldo, filza 5, series I, nr. 264",1458-01-21,1458,Narino de Montaldo,dca9d2a2-5e47-4a2c-8c0b-cc1ba7d41f8e,25345,Notai antichi 623,5eb52e95-5d97-47d1-b48e-712527c4dcd5,39808,Archivio di stato di Genova,ee97663f-09a3-469d-80d8-341c288567c7,40349,Franchixia,"The nun Costanza Spinola, from the monastery of S. Sepulcro di S. Pierdarina, with the consent of the abbess Argenta Salvagi, frees the Russian slave Caterina, who is 30 years of age."
Cristoforo de Fornari,male,mercantes,,,1425–1460,a364b535-a857-4eab-a748-0383a1322a55,37048,Caterina,,,,female,–1460,,1460,1460,9446d84d-823a-43b3-8656-854e9088f53f,40015,5,,,,y,in the workshop of an independent party,"Andrea de Cairo, filza 16, nr. 128",1460-05-02,1460,Andrea de Cairo,bd07a964-a2cd-48a0-8401-f4a21ba7ac3e,23121,Notai antichi 796,45849d61-5428-478d-9491-6c51fbacc8af,39817,Archivio di stato di Genova,f38740ff-ccda-4bfa-a6e3-a4f9b288b5ac,40191,Promissio franchixie,
Cristoforo de Rapallo,male,artefices,,26159,1465–1490,e3e9c610-99bd-43fd-a87e-830782bba6ff,39874,Caterina,Moorish,04348640-60da-4bab-811c-6f34b0aef7a27,31559,female,1460–1490,1460,1490,30,4216ff53-1237-455a-ab98-a2a37320384d,40094,,,,,,,"Quirico Serravalle, filza 5, nr. 168",1490,1490,Quirico de Serravalle,0c25f5c8-b3bf-49b2-aeae-22e6e19b0220,31257,Notai antichi 1237bis,9c70773f-c0ca-4621-8aad-a9e60f151189,39775,Archivio di stato di Genova,6f954276-e05b-40ee-97da-3d760e168815,40376,Franchixia,"A certain Cristoforo de Rapallo frees the Moorish slave Caterina, who is 30 years of age."
Cristoforo Grillo,male,nobiles,,,1431–1456,e64047cc-780e-4cba-9239-f993782ae325,39875,Caterina,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,1416–1456,1416,1456,40,22245d11-6d92-4eb2-a53c-c49a04251f22,40095,,,,,,,"Tommaso Duracino, filza 2, series II, nr. 25 *",1456-01-15,1456,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 889,101c0bd8-a7ea-41d9-b9dc-62f2509bd4ac,37833,Archivio di stato di Genova,cd9d4bb4-084d-4e4b-9669-467153c6af7f,40392,Franchixia sclave,"A certain Cristoforo Grillo frees the Abkhazan slave Caterina, who is 40 years of age. The dating is approximate."
Damiano Cattaneo,male,nobiles,,,1445–1470,c206384d-8159-482c-b719-2bc335410bd1,39876,Maria,Greek,a60cb7ee-a97d-42d1-b314-5fdc396b40f7,37490,female,1440–1470,1440,1470,30,ed9241bb-1bf2-4254-8e01-0d991a810864,40096,3,,,,y,in the house inhabited by the holder,"Tommaso Duracino, filza 13, series II, nr. 391",1470-11-27,1470,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 900,3f5c1349-0119-426c-851b-912e066cc9f1,37840,Archivio di stato di Genova,b738218f-95c3-4e6b-81e9-c51cf434c956,40383,Franchixia,"A certain Damiano Cattaneo frees the Greek slave Maria, who is 30 years of age."
Damiano de Oliverio,male,mercantes,speciarius,26159,1357–1382,f12938f7-1fa5-475c-ba34-aa85ef5c30ea,39877,Martino,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,male,1362–1382,1362,1382,20,4779e90b-c52f-4ff4-8060-2012ca6a2b58,40097,8,,12,,n,in a home of an independent party,"Andreolo Caito, register 3, 1380–1400, fol. 13v",1382-04-17,1382,Andreolo de Caito,a067dbb7-bf13-4550-8cc0-be7f3e552647,23122,Notai antichi 311,4ae032eb-1c99-4cda-b459-64f90fd7f59d,39782,Archivio di stato di Genova,42f4d068-ddc5-4bc5-8c95-1cba43521c70,40198,Franchixia,"A certain Damiano ""de Oliverio"" di Rapallo, speciarus, civis Ianue, also in the name of his brother Oliverio, frees the Tartaran slave Martino, who is 20 years of age, under various conditions."
Daniele Oltramarini,male,artefices,notary,,1402–1427,a7bcb077-43ce-4919-b2ff-9337be58067f,39878,an unnamed Abkhazan woman,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,–1427,,1427,1427,99985e1f-b150-4918-9c38-2e54eef9f746,40098,,,,,,,"Antonio Percipiano, filza 1, nr. 189",1427,1427,Antonio Percipiano,0f77d00b-9f19-4ced-9785-46a0a2cfd89c,25451,Notai antichi 616,4c4b54a2-f217-4f62-aea5-251effa8c07f,39805,Archivio di stato di Genova,52498204-af57-4c80-80a0-4809354fe1ce,40222,Franchixia,"A certain Daniele Ultramarino, notaio, frees the Abkhazan slave, unnamed and no age specified."
