sName,sGender,sClass,bClass,sOccupaton,sLocale,sActive,sID,sOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svAge,svActive,svID,svOMID,bName,bGender,bClass,bOccupation,bLocale,bActive,bID,bOMID,pL,pD,pF,pS,actTitle,actDate,aYear,actPlace,actAuthor (aa),aaID,aaOMID,rights,actID,actOMID
Antonio Costa,male,artefices,mercantes,,,1389–1414,d49ac408-b227-4319-99c9-fd5ac2786cf8,26544,Lucia,Russian,2d4212b0-a07e-494a-a7ba-81f254f52314,31354,female,20,1394–1414,c3c769df-eea1-439d-8e62-2f023b8947e4,35237,Donato Tarigo,male,mercantes,,,1389–1414,8bd109ed-9ee0-4c2d-b6b2-7c9e5bd00123,30265,116,,,,"Giuliano Canella, register 4, 1414–1415, fol. 152r",1414,1414,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,71ad94ea-4ac0-445e-a802-1afd9b1196e7,
Ambrogio de Circulis,male,artefices,nobiles,coirasarius,Milano,1389–1414,e517cef7-cf4a-4cd0-bf85-64bc5f0ecd5d,26494,Margherita,Mingrelian,ae0730fa-f010-46b4-b941-3d87217205e18,31554,female,17,1397–1414,d86a50d9-73d0-4edc-8d0a-e391031a141b,35429,Francesco Lomellini,male,nobiles,,,1389–1414,37ed2c69-eec8-4a64-8f53-3602c11496ca,24370,150,,,,"Giuliano Canella, register 4, 1414–1415, fol. 89r",1414,1414,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,b948670f-167a-483e-b430-cd3c15b22c2f,
Cattaneo de Dernixio,male,artefices,nobiles,,,1390–1415,c2aaad5f-4ab4-4dc5-a225-4b05eeeda8e2,26786,Lanzarotto,Bulgarian,d3b57a91-3e55-4d34-89b7-5db6e259c5cb,31541,male,16,1399–1415,83446d66-e7b8-421d-8d68-7ec021f179ab,35221,Baldassare Spinola,male,nobiles,,,1390–1415,dcf990dd-6f4b-41a4-ab5b-70fcd5d54387,30028,99,,,,"Giuliano Canella, register 5, 1415–1417, fol. 2r",1415-09-11,1415,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,bd57f2a7-d231-4b7f-94ad-580ce2da9106,
Cattaneo de Dernixio,male,artefices,nobiles,,,1390–1415,c2aaad5f-4ab4-4dc5-a225-4b05eeeda8e2,26786,Lanzarotto,Bulgarian,d3b57a91-3e55-4d34-89b7-5db6e259c5cb,31541,male,16,1399–1415,62e7cedf-49a2-45ba-976f-ed2c28fc799f,35220,Baldassare Spinola,male,nobiles,,,1390–1415,dcf990dd-6f4b-41a4-ab5b-70fcd5d54387,30028,99,,,,"Giuliano Canella, register 5, 1415-1417, fols. 2v–3r",1415-09-12,1415,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,3953b1bb-6c10-4db8-a3f8-452208d6ebf6,
Raffaele Giuso,male,nobiles,nobiles,,,1390–1415,cf19f998-924f-4d6b-89ec-c9ed6dad27ac,27423,Micale,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb191,31361,male,12,1403–1415,f245cdef-6130-48ec-8c95-c42209eac851,35764,Pietro Scipione,male,nobiles,,,1390–1415,64dd96ad-297c-4459-93b3-d169bc203033,30862,55,,,,"Giuliano Canella, register 5, 1415–1417, fol. 10r–v",1415-09-28,1415,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,d091e86d-4a40-4044-ad69-a14ee2f3a1da,
Matteo de Oliva,male,mercantes,artefices,notarius,,1390–1415,d0a31e98-c5ac-4457-a5db-c699e71149d7,27260,Maddalena,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd133,26258,female,28,1387–1415,197ca908-47c3-45c5-97d9-02d11f756cd4,35393,Cosimo Lazzarino,male,artefices,,,1390–1415,dbb096d0-8b47-4b45-9202-d4a500ca3d07,30217,110,,,,"Giuliano Canella, register 5, 1415–1417, fol. 24r–v",1415-10-19,1415,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,13e5b078-71c5-4d90-b845-a250f104ee13,
Caterina Fieschi,female,nobiles,artefices,,,1390–1415,946d6fd8-2b45-47f3-9793-07dc1b096bcd,26782,Caterina,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb95,31361,female,25,1390–1415,bdf16841-bd91-4701-8194-f861a5150bf1,34944,Francesco de Podio,male,artefices,,,1390–1415,3afe333c-99a0-4cb6-95bb-59c21ff8c0bf,30289,95,,,,"Andrea Medianotte, filza 1, series I, nr. 171",1415,1415,Genoa,Andrea Medianotte,8e70fdbc-335b-4ac8-85df-273361b1badf,31221,Archivio di stato di Genova,d0693078-fe8d-4882-8fe6-8959e9dfd76e,
Niccolò Salvago,male,nobiles,mercantes,,,1390–1415,40967b40-1154-490f-a514-620b506c5f50,27305,Giorgio,Russian,2d4212b0-a07e-494a-a7ba-81f254f52325,31354,male,27,1388–1415,45359ee1-aa62-4634-a0a8-89abba9281bd,35180,Pietro de Franchi,male,mercantes,,,1390–1415,a97a9b14-eb32-4c63-aa2e-17bbd2a734ba,30832,70,,,,"Giuliano Canella, register 4, 1414–1415, fol. 171r",1415,1415,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,097dbb6c-11b4-45c9-a323-1f827291ebbd,
Giovanni Musso,male,nobiles,nobiles,,,1390–1415,1832ea8f-e702-46f6-b2a8-55bd94de9796,27085,Lucia,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb192,31361,female,13,1402–1415,77332ab8-fa0b-44a2-a21b-8d722e793ef8,35294,Urbano Piccamiglio,male,nobiles,,,1390–1415,1533c408-a915-48a8-905b-a07b55d8f78c,30961,90,,,,"Giuliano Canella, register 4, 1414–1415, fol. 267r",1415,1415,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,6179c5a8-b880-4caa-afc9-99ffa3621209,
Giacomo de Franchi,male,mercantes,mercantes,,,1390–1415,81265ffa-7088-4bdb-852c-38752e911bfc,26962,Margherita,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb187,31361,female,22,1395–1417,0e8f240c-ed94-40d9-ab82-9884c47f2d92,35522,Martino Reubaldo,male,mercantes,,,1390–1415,e9b2369f-eac9-4055-8c6c-d1d833aff50b,30704,100,,,,"Giuliano Canella, register 4, 1414–1415, fol. 260r",1415,1415,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,cb2bd6a8-78f8-4695-8426-e322b7ce7f64,
Raffaele Crispiano,male,mercantes,artefices,notarius,,1390–1415,5c9cdc2a-f890-4273-b813-85305468ca37,27419,Anastasia,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd158,26258,female,22,1393–1415,7ff81302-d586-4377-af96-9b3103d53273,34838,Luchino de Goano,male,artefices,,,1390–1415,577a1f10-d9d5-4bf2-aa4a-9861d04d9f41,30662,125,,,,"Pietro Bilignano, filza 1, nr. 12",1415,1415,Genoa,Pietro Bilignano,86e3a9e6-2f85-4189-b28c-d77639500478,31252,Archivio di stato di Genova,5bfd3e5f-4b8d-48db-aaf5-4d7905011e08,
Benedetto Marino,male,nobiles,artefices,,,1391–1416,393868be-1a13-482d-885b-10dce821f324,26732,Maria,Russian,2d4212b0-a07e-494a-a7ba-81f254f52317,31354,female,28,1388–1416,8e997359-4775-4501-8591-69629a5f422e,35591,Giacomo de Palodio,male,artefices,notarius,,1391–1416,cf08a85c-fb2c-4b30-85bb-b252afc5f69b,30382,90,,,,"Giuliano Canella, register 5, 1415–1417, fols. 53v–54r",1416-01-08,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,3ffa919e-67ab-4d65-8587-7dc18d2b38bb,
Lazzaro de Vultabio,male,artefices,mercantes,faber,Voltaggio,1391–1416,f80561a8-f260-49d2-abca-54d1f8d1e58a,38409,Maria,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb195,31361,female,24,1392–1416,0790daed-980a-47b9-8bc6-d9ea0dbce786,35666,Bartolomeo de Montaldo,male,mercantes,notarius,Montaldo,1391–1416,8b89ce1d-aade-4f32-82ef-16dd84633ccb,30056,100,,,,"Lorenzo Stella, filza 1, nr. 74 (formerly nr. 73)",1416-03-07,1416,Genoa,Lorenzo Stella,605ffd2a-2117-4ffc-87a6-63bcfb9c0696,25799,Archivio di stato di Genova,31c8e7b5-2d7c-409a-9f34-8d25c80eaa0e,
Zaccaria de Sancto Ulcixio,male,artefices,artefices,macellarius,,1391–1416,6c577b76-2de3-4d18-a0e6-2b6f4d473cf1,27517,Caterina,Crimean,9032b3c7-38a2-4337-8ecc-5a93bd7f66ab,31547,female,22,1394–1416,8721ed50-3e0c-498a-b94f-f45790ab586a,35050,Cattaneo de Dernixio,male,artefices,,,1391–1416,c2aaad5f-4ab4-4dc5-a225-4b05eeeda8e2,26786,95,,,,"Giuliano Canella, register 5, 1415–1417, fol. 121v",1416-04-12,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,cf51c7ee-ab34-4b99-8064-f17b580b86f6,
Oberto Senestrario,male,mercantes,nobiles,,,1391–1416,4f95cb5f-d30d-4818-8d0b-33ab70b7b051,27321,Lucia,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd137,26258,female,28,1388–1416,861868ed-8f23-43cf-bfea-679b07fc74ef,35312,Isnardina [Spinola],female,nobiles,,,1391–1416,764d8f21-b228-4598-a627-988b05964f68,30598,100,,,,"Giuliano Canella, register 5, 1415–1417, fol. 125v",1416-04-28,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,0e28113a-f64f-4e3c-afea-42922b0daffc,
Melchione Grimaldi,male,nobiles,nobiles,,,1391–1416,69cd7319-7a91-4be0-bc46-60c726e6cdee,27271,Elena,Bulgarian,d3b57a91-3e55-4d34-89b7-5db6e259c5cb,31541,female,33,1383–1416,e10af6cf-ff84-451c-b700-9622f51d8190,35114,Teodora Grimaldi,male,nobiles,,,1391–1416,88173419-c51a-4f8a-b20f-851e57075f95,30934,93,,,,"Giuliano Canella, register 5, 1415–1417, fol. 142r *",1416-05-30,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,b2bfd782-c029-4db3-890d-24908d85ba28,
Francesco Fieschi,male,nobiles,nobiles,,,1391–1416,21413903-afed-48f9-b502-37b290404ae7,26908,Maddalena,Crimean,9032b3c7-38a2-4337-8ecc-5a93bd7f66ab,31547,female,23,1393–1416,0f35b379-b243-4ced-9e61-0455847ac0e2,35364,Luca Spinola,male,nobiles,,,1391–1416,7f7a863a-97c3-4545-9081-c5021837cfee,30657,100,,,,"Giuliano Canella, register 5, 1415–1417, fol. 156r *",1416-06-19,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,0385f31e-dc82-4498-b12f-9fcfb21432cd,
Gregorio Giusti,male,mercantes,mercantes,,,1391–1416,c838f160-7bc6-4bee-a88c-f0d0e3d6cb04,27139,Benedetta,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,22,1394–1416,293b015c-ac26-4b8a-8dd6-d49a9f00d81f,34886,Andreolo Fieschi,male,mercantes,notarius,,1391–1416,2886f5e5-87ec-4902-bdc4-5ca666d75a89,26521,112.5,,,112 l. 10 s.,"Giuliano Canella, register 5, 1415–1417, fol. 165r",1416-07-04,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,4b8f72ec-e5dd-436e-8cb1-f7c286259af8,36551
Francesca,female,nobiles,nobiles,,,1391–1416,0a4904de-7a42-40a0-b6f8-9860d6d2b0f4,26887,Agnese,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd142,26258,female,25,1391–1416,8bb74ee7-1131-4af8-9726-2ee187402335,34816,Vincenzo Lomellini,male,nobiles,,,1391–1416,50aba33f-3f24-48b2-9345-c4f4b3decd6b,25204,120,,,,"Giuliano Canella, register 5, 1415–1417, fol. 185r",1416-08-14,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,9bf73832-e53b-4dd8-a028-dc45d7dc869d,36554
Antonio Cavo,male,artefices,artefices,calafatus,,1391–1416,6ea6c6a2-761d-4d22-85a5-4754b6339992,26540,Andrea,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb130,31361,female,17,1399–1416,e333609d-83ea-40eb-8598-84cbdadcf99d,34839,Paolo de Sancto Romulo,male,artefices,calafatus,San Remo,1391–1416,a2fe47c5-3b18-41b2-818e-9da024e20865,30791,55,,,,"Bartolomeo Pino de Saulo, filza 1, nr. 242",1416,1416,Genoa,Bartolomeo Pino de Saulo,8f54e4f5-6d53-410f-a1d2-d12844aa696e,30868,Archivio di stato di Genova,4051d5e7-7a20-4c39-8edf-4abaf851882a,
Leonardo Campofregoso,male,mercantes,mercantes,,,1391–1416,e893306b-4d9d-49c2-a57a-42b70e351f2a,27174,Maria,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,13,1403–1416,d8f76a54-d0b9-4f13-aee1-1b3a378278bc,35634,Lodisio Pagano,male,mercantes,,,1391–1416,04f36446-0db4-4f42-842d-ab593befa624,27192,100,,,,"Quirico de Albingana, filza 1, series I, nr. 114",1416,1416,Genoa,Quirico de Albingana,55ad3265-a756-42d8-89c3-c4ed82a71fe2,31256,Archivio di stato di Genova,e1577f82-cd4b-454e-a7bf-80307f0a2381,
Francesco Fieschi,male,nobiles,nobiles,,,1391–1416,21413903-afed-48f9-b502-37b290404ae7,26908,Maddalena,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb185,31361,female,23,1393–1416,775c53e7-d6ac-4119-b0fa-ddaa209d43e1,35363,Luca Spinola,male,nobiles,,,1391–1416,7f7a863a-97c3-4545-9081-c5021837cfee,30657,100,,,,"Giuliano Canella, register 5, 1415–1417, fol. 156r *",1416,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,d5cb4dd7-82ab-41eb-abb3-5fa3f2134eb3,
Lodisio Pagano,male,mercantes,artefices,,,1391–1416,04f36446-0db4-4f42-842d-ab593befa624,27192,Maria,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,13,1403–1416,d8f76a54-d0b9-4f13-aee1-1b3a378278bc,35634,Nicolo Pacino,male,artefices,accimator,,1391–1416,02de472f-ad18-46fd-94b9-be8345d6e617,30773,102,,,,"Quirico de Albingana, filza 1, series I, nr. 144",1416,1416,Genoa,Quirico de Albingana,55ad3265-a756-42d8-89c3-c4ed82a71fe2,31256,Archivio di stato di Genova,f0d8b800-4848-410f-b758-53c49edf4ddb,
Antonio Pepere,male,nobiles,artefices,,,1391–1416,7841fbaa-6b8c-48d9-806c-9435213f5248,26607,Margherita,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,35,1381–1416,6c97c8c6-0b3e-4705-bc54-faf2d46da271,35439,Niccolò de Crosia,male,artefices,rabbarolius,,1391–1416,25109aa0-1738-474b-bad6-ee33c1018bc3,30744,,,,,"Andrea Medianotte, filza 1, series I, nr. 303",1416,1416,Genoa,Andrea Medianotte,8e70fdbc-335b-4ac8-85df-273361b1badf,31221,Archivio di stato di Genova,10a29a0a-bffc-4fc9-92db-a081ef1942cc,
Giacomo Lomellini,male,nobiles,nobiles,,,1392–1417,35590e24-6450-4bcd-ab10-e38d62277bec,24409,Cristiana,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb180,31361,female,28,1389–1417,a25492a4-0b35-4303-b34e-edb01ec506ce,35072,Giannone Cibo,male,nobiles,,,1392–1417,2862a191-c1be-4191-9a89-b42e76fe02b1,30413,105,,,,"Giuliano Canella, register 5, 1415–1417, fol. 311r–v",1417-03-20,1417,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,611da88d-5c00-4043-83ea-8eda5d675303,
Clavarino Ratono,male,artefices,mercantes,lanerius,,1392–1417,2cd636d7-13c3-4ca8-a053-efb0277e6dd0,26798,Valeca,Russian,2d4212b0-a07e-494a-a7ba-81f254f52327,31354,female,18,1399–1417,c8181a4f-c880-40c9-8e7f-25ccb531a353,35809,Speciosa Gambone,female,mercantes,,,1392–1417,232dcd6f-b2a8-430e-89ca-bbff097b3b6d,30914,105,,,,"Giuliano Canella, register 5, 1415–1417, fol. 277r–v",1417,1417,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,0fa6c7e2-7b9e-468c-9e53-520334ea5f29,
Lorenzo de Uvada,male,artefices,nobiles,,Ovada,1392–1417,810a00c6-3dd7-4672-8037-ff3194288b90,27204,an unnamed Russian child,Russian,2d4212b0-a07e-494a-a7ba-81f254f52323,31354,,17,1400–1417,3b374f67-5ae1-4546-8628-c82fb54907a8,35870,Pietra de Palacio,female,nobiles,,,1392–1417,f2ffc5fa-5318-4a19-88c9-455e7ddf36f8,30817,107,,,,"Giuliano Canella, register 5, 1415–1417, fol. 302r",1417,1417,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,665c2c8b-3b9d-4695-bc1e-f051c180da43,
Domenico Senestrario,male,mercantes,nobiles,,,1392–1417,68b84bf8-6b2e-4b5a-afe1-05943bd38b99,26849,Andrea,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd136,26258,female,12,1405–1417,99298571-2d92-4ef9-bf68-69996b10c595,34842,Goffredo Lomellini,male,nobiles,,,1392–1417,753e8caf-fdf3-4a07-bccf-577eb1d0ebda,24605,85,,,,"Giuliano Canella, register 5, 1415–1417, fols. 404v–405r",1417,1417,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,4c60f2ae-b07f-4086-89dc-cb12b87cda8c,
Francesco Fieschi,male,nobiles,mercantes,,,1392–1417,21413903-afed-48f9-b502-37b290404ae7,26908,an unnamed Circassian woman,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb189,31361,female,24,1393–1417,f14b5f60-13fd-4850-8ccd-4dac8adf10d1,35855,Napoleone de Franchi,male,mercantes,,,1392–1417,dff0def5-438a-4c6f-8bdb-1779f4dd8a1d,30735,90,,,,"Giuliano Canella, register 5, 1415–1417, fol. 366r",1417,1417,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,26b4ed49-02f9-4c72-9c7d-a7d47ea3d765,
Leonardo de Oliva,male,nobiles,nobiles,,,1392–1417,06650946-6741-41cc-8468-a6322f0f50b3,27179,Maria,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,22,1395–1417,0762d621-2436-4ec8-b477-e29226860061,35631,Martino Lomellini,male,nobiles,,,1392–1417,68c3b92d-0c6d-4142-b07f-f1da51204c7b,24837,100,,,,"Giuliano Canella, register 5, 1415–1417, fol. 342r",1417,1417,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,f3c54fe2-aeb3-430c-ab86-74ee294f5dce,
Clavarino Ratono,male,artefices,nobiles,lanerius,,1392–1417,2cd636d7-13c3-4ca8-a053-efb0277e6dd0,26798,Versinca,Russian,2d4212b0-a07e-494a-a7ba-81f254f52311,31354,female,15,1402–1417,cb4510e5-2de4-40de-854b-06474be30caf,35826,Antonio Lomellini,male,nobiles,,,1392–1417,37b58897-1c03-46f9-9ef9-246e09b8cef2,23974,105,,,,"Giuliano Canella, register 5, 1415–1417, fol. 277r",1417,1417,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,97a261ec-70b9-41a3-b532-7048af4cd232,
Curreno de Manarolia,male,mercantes,nobiles,,Manarola,1392–1417,53365459-64d3-4bed-98ef-96cf8b1d937c,26825,an unnamed Russian girl,Russian,2d4212b0-a07e-494a-a7ba-81f254f52321,31354,female,15,1402–1417,e71c82ee-2b72-4ea9-af34-ad620ad222cf,35847,Gherardo Usodimare,male,nobiles,,,1392–1417,e21c015a-6b9d-4d07-85a5-3e0a4a2f7af2,30585,110,,,,"Giuliano Canella, register 5, 1415–1417, fol. 295r–v",1417,1417,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,866fdf59-ea6b-4c5e-9f70-fb256dcb3e57,
Giovanni de Cruce,male,nobiles,mercantes,,,1392–1417,130adbb5-cab1-423b-bb1f-a1e5ed8611c4,27041,Elena,Bosnian,2131e175-08ff-4be0-bc8b-5c403d279c8e,31536,female,25,1392–1417,9308e59f-0267-4bd0-88d2-8fd267445351,35108,Domenico Accornerio,male,mercantes,,,1392–1417,efdf762e-96d3-4391-bcd3-02f546e20efd,30246,110,,,,"Giuliano Canella, register 5, 1415–1417, fol. 354v",1417,1417,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,eff3c7f6-5f6c-4d5c-ae73-a294a30f38d7,
Martino Reubaldo,male,mercantes,mercantes,,,1392–1417,e9b2369f-eac9-4055-8c6c-d1d833aff50b,30704,Margherita,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb187,31361,female,22,1395–1417,0e8f240c-ed94-40d9-ab82-9884c47f2d92,35522,Martino de Oliva,male,mercantes,,,1392–1417,1300e773-de47-435b-a8ef-c4c025910630,30696,111,,,,"Giuliano Canella, register 5, 1415–1417, fol. 411r–v",1417,1417,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,bc583ce7-651d-472f-948d-252f3e4630bd,
Martino Squarciafico,male,nobiles,nobiles,,,1392–1417,be11079f-65dc-4db3-95ef-55fd7c7f75b1,27258,Agnese,Russian,2d4212b0-a07e-494a-a7ba-81f254f52320,31354,female,14,1403–1417,369f1683-3ff0-4bd3-9e6d-63d090e37b22,34821,Guglielmo Assereto,male,nobiles,,,1392–1417,d7f038f2-5c30-4297-bd2c-8aa2461aff19,30575,114,,,,"Giuliano Canella, register 5, 1415–1417, fol. 405v",1417,1417,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,11643213-2bc7-4b7e-9bdb-1b6f400b8faa,
Giovanni Cattaneo,male,nobiles,nobiles,,,1393–1418,4a77c1e3-f937-4246-816f-e181324039cf,27032,Caterina,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb165,31361,female,36,1382–1418,f437a52b-fc24-4b37-b6a3-46e35b5944bf,34968,Andreola Cicala,female,nobiles,,,1393–1418,275d0b75-efe7-48c7-8f2b-7cbe6f32da93,29965,90,,,,"Giuliano Canella, register 6, 1418–1421, fol. 21r",1418,1418,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,406818ac-aa26-4d43-b3e8-f13e786c75cb,
Perrino de Bassigna,male,artefices,nobiles,barberius,,1393–1418,7e1ec4f2-85de-4e4a-a99c-cad18f179666,27379,Antonina,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb167,31361,female,22,1396–1418,426201f9-433b-4614-8d80-3bdcb702939a,34873,Argenta Doria,female,nobiles,,,1393–1418,bacdd306-5e57-4fd0-97ca-93de25862764,30017,107,,,,"Giuliano Canella, register 6, 1418–1421, fol. 4r",1418,1418,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,b925d184-9633-4c7e-a16e-3ffc65b50c4e,
Giuliano Lomellini,male,nobiles,artefices,,,1393–1418,956526ad-9140-425c-9474-9e0f0d2401ed,24598,Melica,Turkish,cf223ecb-f243-491c-836e-823d5db2129c,31560,female,34,1384–1418,ee1f7847-17c6-4f66-aa08-cc3259cd0ee2,35754,Lorenzo de Sancto Miniato,male,artefices,corrigiarius,San Miniato,1393–1418,056292b4-1d6e-4179-bc9f-c14db886817a,30634,75,,,,"Giuliano Canella, register 6, 1418–1421, fol. 77r",1418,1418,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,c546bf1c-02bc-4d98-8394-d34bbe08d660,
Raffaele Giuso,male,nobiles,mercantes,,,1393–1418,cf19f998-924f-4d6b-89ec-c9ed6dad27ac,27423,Michele,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb174,31361,female,18,1400–1418,5072d405-a2ec-44b7-8a66-b406037c0ec9,35768,Domenico Accornerio,male,mercantes,,,1393–1418,efdf762e-96d3-4391-bcd3-02f546e20efd,30246,75,,,,"Giuliano Canella, register 6, 1418–1421, fol. 14v",1418,1418,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,d4efd168-d6d0-4c8d-973f-71d2e3d540bc,
Andrea Cicala,male,nobiles,mercantes,,,1393–1418,9a6ca93b-b0d5-48c8-867f-20de52b1f276,26502,Cristina,Bulgarian,d3b57a91-3e55-4d34-89b7-5db6e259c5cb,31541,female,18,1400–1418,9c3ae6ee-e9b2-4af0-b085-c593c1d50def,35080,Pietro de Monelia,male,mercantes,,Moneglia,1393–1418,92221d3b-5bad-4c3e-8448-501496d23b58,30838,110,,,,"Giuliano Canella, register 6, 1418–1421, fol. 21v",1418,1418,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,33953e81-de56-4b40-a914-7bc6c2fbe99e,
Bartolomeo Blanco,male,mercantes,artefices,notarius,,1393–1418,bb143abd-c825-4286-b3be-f2015ec2f843,26635,Maddalena,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb196,31361,female,36,1382–1418,9ffce4a9-977b-4c1f-bbd8-c1395f94cb71,35344,Antonio de Goano,male,artefices,notarius,,1393–1418,f86dc3f5-b3da-496d-83ff-476a0c2edd28,26562,111.5,,,111 l. 10 s.,"Lorenzo Villa, filza 2, nr. 274",1418,1418,Genoa,Lorenzo de Villa,7787ee2e-670f-42d1-8dd6-9ab7e0144ae3,31249,Archivio di stato di Genova,d4183304-e8c0-43cd-8a5e-17a7c5e25529,
Leonardo Tarigo,male,mercantes,nobiles,,,1393–1418,ee350086-ac50-41b0-b70b-f867d82588b4,27180,Marta,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb199,31361,female,33,1385–1418,d4713f49-745d-4da0-a64b-778f1d650f00,35701,Niccolò Sauli,male,nobiles,,,1393–1418,12bc6947-47ca-4dcf-9a90-2c8285dbd4e2,25562,190,,,,"Lorenzo Villa, filza 2, nr. 201",1418,1418,Genoa,Lorenzo de Villa,7787ee2e-670f-42d1-8dd6-9ab7e0144ae3,31249,Archivio di stato di Genova,67135afc-f3e6-49ae-aa13-c4fa920c40e7,
